content,textPreprocessing,sentiment
masih mencoba baru menggunakan,coba baru guna,NETRAL
Hanya ikut alur aja,ikut alur,NETRAL
sangat terbaik,sangat baik,POSITIF
Tolong di bikin stabil jaringan di tempat saya masa hujan dikit hilang sinyal mati lampu jelek juga makasih kembalikan lagi telkomsel yg dlu semoga sukses terus,bikin stabil jaring tempat masa hujan sedikit hilang sinyal mati lampu jelek terima kasih kembali telkomsel dulu moga sukses terus,NETRAL
"Semoga lebih baik lagi dan banyak penawaran"" yang menarik.",moga lebih baik banyak tawar tarik,NETRAL
"saya pengguna Telkomsel sudah lama,, keluhan saya beli paket kuota internet di mytelkomsel terlalu mahal,, lagi pula paket internet boros banget,, mohon di turunin harga paket kuota internet,,dan semoga sukses selalu,,aku kasih bintang 5 biar segera ulas",guna telkomsel lama keluh beli paket kuota internet mytelkomsel terlalu mahal paket internet boros banget mohon turun harga paket kuota internet moga sukses selalu aku kasih bintang biar segera ulas,NETRAL
signal ok dimana pun,sinyal oke,POSITIF
aplikasi my Telkomsel sangat bagus sekali,aplikasi my telkomsel sangat bagus sekali,POSITIF
Mau masuk z loadingnya lama banget. Kalo fiturnya ringan dan mudah aq kasih bintang 4...,mau masuk z loading lama banget kalau fiturnya ringan mudah aku kasih bintang,NETRAL
Sangat membabtu,sangat bantu,POSITIF
"alhamdulilah Telkomsel udah membaik, sekarang udah ga terpotong lagi pulsanya. tapi, kenapa daily check in sekarang waktunya udh sedikit ya? padahal kan mau ikutan daily check in supaya dapat paket internetnya, tapi waktunya malah cuma berapa hari aja, terus paket yg kita dapat juga ga sebanyak dulu lagi",alhamdulilah telkomsel baik sekarang tidak potong pulsa daily check in sekarang waktu sedikit padahal kan mau ikut daily check in paket internetnya waktu malah cuma berapa hari terus paket tidak banyak dulu,NETRAL
parah beli pulsa dah berhasil tapi belum masukk,parah beli pulsa hasil belum masuk,NEGATIF
Alhamdulillah Sudah lumayan jaringannya,alhamdulilah lumayan jaring,POSITIF
Nanti stlh sy pake apk ini slm 3bln br sy ksih 5 bintang..,pakai aplikasi lama bulan baru kasih bintang,NETRAL
