Ulasan,Case Folding,Remove Punctuation,Remove Number,Tokenization,Spelling Correction,Stopwords,Stemming,Sentimen
masih mencoba baru menggunakan,masih mencoba baru menggunakan,masih mencoba baru menggunakan,masih mencoba baru menggunakan,"['masih', 'mencoba', 'baru', 'menggunakan']","['masih', 'mencoba', 'baru', 'menggunakan']","['mencoba', 'baru', 'menggunakan']",coba baru guna,NETRAL
Hanya ikut alur aja,hanya ikut alur aja,hanya ikut alur aja,hanya ikut alur aja,"['hanya', 'ikut', 'alur', 'aja']","['hanya', 'ikut', 'alur', 'saja']","['ikut', 'alur']",ikut alur,NETRAL
sangat terbaik,sangat terbaik,sangat terbaik,sangat terbaik,"['sangat', 'terbaik']","['sangat', 'terbaik']","['sangat', 'terbaik']",sangat baik,POSITIF
Tolong di bikin stabil jaringan di tempat saya masa hujan dikit hilang sinyal mati lampu jelek juga makasih kembalikan lagi telkomsel yg dlu semoga sukses terus,tolong di bikin stabil jaringan di tempat saya masa hujan dikit hilang sinyal mati lampu jelek juga makasih kembalikan lagi telkomsel yg dlu semoga sukses terus,tolong di bikin stabil jaringan di tempat saya masa hujan dikit hilang sinyal mati lampu jelek juga makasih kembalikan lagi telkomsel yg dlu semoga sukses terus,tolong di bikin stabil jaringan di tempat saya masa hujan dikit hilang sinyal mati lampu jelek juga makasih kembalikan lagi telkomsel yg dlu semoga sukses terus,"['tolong', 'di', 'bikin', 'stabil', 'jaringan', 'di', 'tempat', 'saya', 'masa', 'hujan', 'dikit', 'hilang', 'sinyal', 'mati', 'lampu', 'jelek', 'juga', 'makasih', 'kembalikan', 'lagi', 'telkomsel', 'yg', 'dlu', 'semoga', 'sukses', 'terus']","['tolong', 'di', 'bikin', 'stabil', 'jaringan', 'di', 'tempat', 'saya', 'masa', 'hujan', 'sedikit', 'hilang', 'sinyal', 'mati', 'lampu', 'jelek', 'juga', 'terima kasih', 'kembalikan', 'lagi', 'telkomsel', 'yang', 'dulu', 'semoga', 'sukses', 'terus']","['bikin', 'stabil', 'jaringan', 'tempat', 'masa', 'hujan', 'sedikit', 'hilang', 'sinyal', 'mati', 'lampu', 'jelek', 'terima kasih', 'kembalikan', 'telkomsel', 'dulu', 'semoga', 'sukses', 'terus']",bikin stabil jaring tempat masa hujan sedikit hilang sinyal mati lampu jelek terima kasih kembali telkomsel dulu moga sukses terus,NETRAL
"Semoga lebih baik lagi dan banyak penawaran"" yang menarik.","semoga lebih baik lagi dan banyak penawaran"" yang menarik.",semoga lebih baik lagi dan banyak penawaran  yang menarik ,semoga lebih baik lagi dan banyak penawaran  yang menarik ,"['semoga', 'lebih', 'baik', 'lagi', 'dan', 'banyak', 'penawaran', 'yang', 'menarik']","['semoga', 'lebih', 'baik', 'lagi', 'dan', 'banyak', 'penawaran', 'yang', 'menarik']","['semoga', 'lebih', 'baik', 'banyak', 'penawaran', 'menarik']",moga lebih baik banyak tawar tarik,NETRAL
"saya pengguna Telkomsel sudah lama,, keluhan saya beli paket kuota internet di mytelkomsel terlalu mahal,, lagi pula paket internet boros banget,, mohon di turunin harga paket kuota internet,,dan semoga sukses selalu,,aku kasih bintang 5 biar segera ulas","saya pengguna telkomsel sudah lama,, keluhan saya beli paket kuota internet di mytelkomsel terlalu mahal,, lagi pula paket internet boros banget,, mohon di turunin harga paket kuota internet,,dan semoga sukses selalu,,aku kasih bintang 5 biar segera ulas",saya pengguna telkomsel sudah lama   keluhan saya beli paket kuota internet di mytelkomsel terlalu mahal   lagi pula paket internet boros banget   mohon di turunin harga paket kuota internet  dan semoga sukses selalu  aku kasih bintang 5 biar segera ulas,saya pengguna telkomsel sudah lama   keluhan saya beli paket kuota internet di mytelkomsel terlalu mahal   lagi pula paket internet boros banget   mohon di turunin harga paket kuota internet  dan semoga sukses selalu  aku kasih bintang  biar segera ulas,"['saya', 'pengguna', 'telkomsel', 'sudah', 'lama', 'keluhan', 'saya', 'beli', 'paket', 'kuota', 'internet', 'di', 'mytelkomsel', 'terlalu', 'mahal', 'lagi', 'pula', 'paket', 'internet', 'boros', 'banget', 'mohon', 'di', 'turunin', 'harga', 'paket', 'kuota', 'internet', 'dan', 'semoga', 'sukses', 'selalu', 'aku', 'kasih', 'bintang', 'biar', 'segera', 'ulas']","['saya', 'pengguna', 'telkomsel', 'sudah', 'lama', 'keluhan', 'saya', 'beli', 'paket', 'kuota', 'internet', 'di', 'mytelkomsel', 'terlalu', 'mahal', 'lagi', 'pula', 'paket', 'internet', 'boros', 'banget', 'mohon', 'di', 'turunkan', 'harga', 'paket', 'kuota', 'internet', 'dan', 'semoga', 'sukses', 'selalu', 'aku', 'kasih', 'bintang', 'biar', 'segera', 'ulas']","['pengguna', 'telkomsel', 'lama', 'keluhan', 'beli', 'paket', 'kuota', 'internet', 'mytelkomsel', 'terlalu', 'mahal', 'paket', 'internet', 'boros', 'banget', 'mohon', 'turunkan', 'harga', 'paket', 'kuota', 'internet', 'semoga', 'sukses', 'selalu', 'aku', 'kasih', 'bintang', 'biar', 'segera', 'ulas']",guna telkomsel lama keluh beli paket kuota internet mytelkomsel terlalu mahal paket internet boros banget mohon turun harga paket kuota internet moga sukses selalu aku kasih bintang biar segera ulas,NETRAL
signal ok dimana pun,signal ok dimana pun,signal ok dimana pun,signal ok dimana pun,"['signal', 'ok', 'dimana', 'pun']","['sinyal', 'oke', 'dimana', 'pun']","['sinyal', 'oke']",sinyal oke,POSITIF
aplikasi my Telkomsel sangat bagus sekali,aplikasi my telkomsel sangat bagus sekali,aplikasi my telkomsel sangat bagus sekali,aplikasi my telkomsel sangat bagus sekali,"['aplikasi', 'my', 'telkomsel', 'sangat', 'bagus', 'sekali']","['aplikasi', 'my', 'telkomsel', 'sangat', 'bagus', 'sekali']","['aplikasi', 'my', 'telkomsel', 'sangat', 'bagus', 'sekali']",aplikasi my telkomsel sangat bagus sekali,POSITIF
Mau masuk z loadingnya lama banget. Kalo fiturnya ringan dan mudah aq kasih bintang 4...,mau masuk z loadingnya lama banget. kalo fiturnya ringan dan mudah aq kasih bintang 4...,mau masuk z loadingnya lama banget  kalo fiturnya ringan dan mudah aq kasih bintang 4   ,mau masuk z loadingnya lama banget  kalo fiturnya ringan dan mudah aq kasih bintang    ,"['mau', 'masuk', 'z', 'loadingnya', 'lama', 'banget', 'kalo', 'fiturnya', 'ringan', 'dan', 'mudah', 'aq', 'kasih', 'bintang']","['mau', 'masuk', 'z', 'loading', 'lama', 'banget', 'kalau', 'fiturnya', 'ringan', 'dan', 'mudah', 'aku', 'kasih', 'bintang']","['mau', 'masuk', 'z', 'loading', 'lama', 'banget', 'kalau', 'fiturnya', 'ringan', 'mudah', 'aku', 'kasih', 'bintang']",mau masuk z loading lama banget kalau fiturnya ringan mudah aku kasih bintang,NETRAL
Sangat membabtu,sangat membabtu,sangat membabtu,sangat membabtu,"['sangat', 'membabtu']","['sangat', 'membantu']","['sangat', 'membantu']",sangat bantu,POSITIF
"alhamdulilah Telkomsel udah membaik, sekarang udah ga terpotong lagi pulsanya. tapi, kenapa daily check in sekarang waktunya udh sedikit ya? padahal kan mau ikutan daily check in supaya dapat paket internetnya, tapi waktunya malah cuma berapa hari aja, terus paket yg kita dapat juga ga sebanyak dulu lagi","alhamdulilah telkomsel udah membaik, sekarang udah ga terpotong lagi pulsanya. tapi, kenapa daily check in sekarang waktunya udh sedikit ya? padahal kan mau ikutan daily check in supaya dapat paket internetnya, tapi waktunya malah cuma berapa hari aja, terus paket yg kita dapat juga ga sebanyak dulu lagi",alhamdulilah telkomsel udah membaik  sekarang udah ga terpotong lagi pulsanya  tapi  kenapa daily check in sekarang waktunya udh sedikit ya  padahal kan mau ikutan daily check in supaya dapat paket internetnya  tapi waktunya malah cuma berapa hari aja  terus paket yg kita dapat juga ga sebanyak dulu lagi,alhamdulilah telkomsel udah membaik  sekarang udah ga terpotong lagi pulsanya  tapi  kenapa daily check in sekarang waktunya udh sedikit ya  padahal kan mau ikutan daily check in supaya dapat paket internetnya  tapi waktunya malah cuma berapa hari aja  terus paket yg kita dapat juga ga sebanyak dulu lagi,"['alhamdulilah', 'telkomsel', 'udah', 'membaik', 'sekarang', 'udah', 'ga', 'terpotong', 'lagi', 'pulsanya', 'tapi', 'kenapa', 'daily', 'check', 'in', 'sekarang', 'waktunya', 'udh', 'sedikit', 'ya', 'padahal', 'kan', 'mau', 'ikutan', 'daily', 'check', 'in', 'supaya', 'dapat', 'paket', 'internetnya', 'tapi', 'waktunya', 'malah', 'cuma', 'berapa', 'hari', 'aja', 'terus', 'paket', 'yg', 'kita', 'dapat', 'juga', 'ga', 'sebanyak', 'dulu', 'lagi']","['alhamdulilah', 'telkomsel', 'sudah', 'membaik', 'sekarang', 'sudah', 'tidak', 'terpotong', 'lagi', 'pulsanya', 'tapi', 'kenapa', 'daily', 'check', 'in', 'sekarang', 'waktunya', 'sudah', 'sedikit', 'ya', 'padahal', 'kan', 'mau', 'ikutan', 'daily', 'check', 'in', 'supaya', 'dapat', 'paket', 'internetnya', 'tapi', 'waktunya', 'malah', 'cuma', 'berapa', 'hari', 'saja', 'terus', 'paket', 'yang', 'kita', 'dapat', 'juga', 'tidak', 'sebanyak', 'dulu', 'lagi']","['alhamdulilah', 'telkomsel', 'membaik', 'sekarang', 'tidak', 'terpotong', 'pulsanya', 'daily', 'check', 'in', 'sekarang', 'waktunya', 'sedikit', 'padahal', 'kan', 'mau', 'ikutan', 'daily', 'check', 'in', 'paket', 'internetnya', 'waktunya', 'malah', 'cuma', 'berapa', 'hari', 'terus', 'paket', 'tidak', 'sebanyak', 'dulu']",alhamdulilah telkomsel baik sekarang tidak potong pulsa daily check in sekarang waktu sedikit padahal kan mau ikut daily check in paket internetnya waktu malah cuma berapa hari terus paket tidak banyak dulu,NETRAL
parah beli pulsa dah berhasil tapi belum masukk,parah beli pulsa dah berhasil tapi belum masukk,parah beli pulsa dah berhasil tapi belum masukk,parah beli pulsa dah berhasil tapi belum masukk,"['parah', 'beli', 'pulsa', 'dah', 'berhasil', 'tapi', 'belum', 'masukk']","['parah', 'beli', 'pulsa', 'sudah', 'berhasil', 'tapi', 'belum', 'masuk']","['parah', 'beli', 'pulsa', 'berhasil', 'belum', 'masuk']",parah beli pulsa hasil belum masuk,NEGATIF
