userName,score,at,content,sentiment
Gilang gilang,5,2023-02-09 02:54:15,masih mencoba baru menggunakan,NETRAL
supriyadi ba,1,2023-02-18 03:42:33,Hanya ikut alur aja,NETRAL
Gurdip Singh,5,2023-02-07 19:26:55,sangat terbaik,POSITIF
didi kuswandi,5,2023-02-26 13:51:23,Tolong di bikin stabil jaringan di tempat saya masa hujan dikit hilang sinyal mati lampu jelek juga makasih kembalikan lagi telkomsel yg dlu semoga sukses terus,NETRAL
Dhar Frisca,5,2023-02-03 22:06:58,"Semoga lebih baik lagi dan banyak penawaran"" yang menarik.",NETRAL
Heartrock Kelvin,5,2023-02-15 14:28:51,"saya pengguna Telkomsel sudah lama,, keluhan saya beli paket kuota internet di mytelkomsel terlalu mahal,, lagi pula paket internet boros banget,, mohon di turunin harga paket kuota internet,,dan semoga sukses selalu,,aku kasih bintang 5 biar segera ulas",NETRAL
Jablay Nora,5,2023-02-03 18:46:42,signal ok dimana pun,POSITIF
Hai Ferdi,5,2023-02-01 15:32:34,aplikasi my Telkomsel sangat bagus sekali,POSITIF
em ghozali,1,2023-02-05 02:23:52,Mau masuk z loadingnya lama banget. Kalo fiturnya ringan dan mudah aq kasih bintang 4...,NETRAL
JOBARU,5,2023-02-28 13:16:34,Sangat membabtu,POSITIF
atika_ Inayah,4,2023-02-11 06:11:08,"alhamdulilah Telkomsel udah membaik, sekarang udah ga terpotong lagi pulsanya. tapi, kenapa daily check in sekarang waktunya udh sedikit ya? padahal kan mau ikutan daily check in supaya dapat paket internetnya, tapi waktunya malah cuma berapa hari aja, terus paket yg kita dapat juga ga sebanyak dulu lagi",NETRAL
Eko Budii,1,2023-02-23 01:49:52,parah beli pulsa dah berhasil tapi belum masukk,NEGATIF
Khairi Sabili,5,2023-02-03 06:51:17,Alhamdulillah Sudah lumayan jaringannya,POSITIF
Aden azril,2,2023-02-27 00:30:20,Nanti stlh sy pake apk ini slm 3bln br sy ksih 5 bintang..,NETRAL
Candra Candra,5,2023-02-03 01:43:30,sagat berman daa,POSITIF
Fata Hullah,5,2023-02-08 04:31:33,baru coba gaes dapat promo murah murahan,NETRAL
Noven Manalu,1,2023-02-01 14:56:36,Hancur kali jaringan sekarang,NEGATIF
Ikhwan Jamil,5,2023-02-02 01:37:24,"Telkomsel mantaaaap,tolong di tingkatkan lagi pelayanannya.",NETRAL
Taupan Hadi,1,2023-02-28 11:41:50,Aplikasi apa sudah gada rating,NETRAL
Eko Prasetyo,1,2023-02-01 11:11:13,123 hujan datang seketika sinyal pun hilang ..... Telkomsel sekarang beda dengan yang dulu ...,NEGATIF
Ronal_ ziyus03,1,2023-02-25 11:09:59,"Sangat membantu , terimakasih my Telkomsel .",POSITIF
MUHAMAD SALIM,1,2023-02-09 16:47:54,KUOTA ELIT JARINGAN SULIT!!!,NEGATIF
GI SU,5,2023-02-10 13:05:57,BELANDA V INDIA 🇮🇳 POLIS,NETRAL
Muh Yusuf ali,1,2023-02-02 14:16:09,"Akhir-akhir ini jaringan Telkomsel ngeleg parah masa jaringan 4G malah ngeleg, kecewa ama Telkomsel bikin emosi aja lagi main game",NEGATIF
leigher black,1,2023-02-01 14:24:37,"Aplikasi plng buruk, pelayanan plng buruk dari pagi sampe skrng udh mlm mw beli paket internet gabisa mulai dari app sampe *363# tdk ada solusi pengecekan terus gatau apa yg di cek pdhl beli ga gratis",NEGATIF
